name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"33.9804357,74.9374944",01/01/94,8.9,0.4,4.5,8.9,0.4,4.5,0.4,77,0,0,0,,,,,3.6,312.3,,82,2,,,,,1994-01-01T07:35:43,1994-01-01T17:31:44,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",02/01/94,7.4,-0.8,4.2,7.4,-0.8,4.2,1,81.6,0.6,100,4.17,"rain,snow",,,,3.6,225,,77.5,2,,,,,1994-01-02T07:35:55,1994-01-02T17:32:29,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,42027099999
"33.9804357,74.9374944",03/01/94,9.9,-0.1,5.9,9.5,-0.1,5.8,0.9,71.9,0,0,0,,,,,5.4,160,,90,2,,,,,1994-01-03T07:36:05,1994-01-03T17:33:15,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",04/01/94,4.1,3.2,3.7,4.1,3.2,3.7,2.7,93.2,3,100,4.17,rain,,,,3.6,289.4,,100,2,,,,,1994-01-04T07:36:13,1994-01-04T17:34:03,0.73,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,42027099999
"33.9804357,74.9374944",05/01/94,8.1,3.1,5.7,8.1,3.1,5.7,2.6,81.5,0,0,0,,,,,3.6,33.8,,86,2,,,,,1994-01-05T07:36:20,1994-01-05T17:34:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",06/01/94,9.1,1.2,5.9,9.1,1.2,5.9,-0.7,65.1,0,0,0,,,,,1.8,286.2,,75,2.5,,,,,1994-01-06T07:36:24,1994-01-06T17:35:40,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",07/01/94,9.4,-0.3,6.1,9.4,-0.3,6.1,-0.2,66.3,0,0,0,,,,,3.6,225,,55,3.5,,,,,1994-01-07T07:36:27,1994-01-07T17:36:31,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",08/01/94,10.4,1.4,7.2,10.4,1.4,7.2,2,70.9,0,0,0,,,,,3.6,295,,45,2,,,,,1994-01-08T07:36:28,1994-01-08T17:37:22,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",09/01/94,7.9,-0.6,1.7,7.9,-0.6,1.7,-1.3,93.1,100,100,4.17,rain,,,,1.8,180,,75,2,,,,,1994-01-09T07:36:27,1994-01-09T17:38:14,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",10/01/94,7.7,-0.6,2.4,7.7,-0.6,2.4,-0.2,83.9,0,0,0,,,,,3.6,360,,93.3,2,,,,,1994-01-10T07:36:24,1994-01-10T17:39:07,0.94,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
